날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-01 01,서울 강남구 ,강남구,111261,0.003,0.3,0.02,0.021,0,27
2016-08-01 02,서울 강남구 ,강남구,111261,0.003,0.3,0.017,0.019,0,23
2016-08-01 03,서울 강남구 ,강남구,111261,0.003,0.3,0.015,0.021,0,28
2016-08-01 04,서울 강남구 ,강남구,111261,0.004,0.3,0.016,0.015,0,24
2016-08-01 05,서울 강남구 ,강남구,111261,0.004,0.3,0.012,0.016,0,30
2016-08-01 06,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.021,0,28
2016-08-01 07,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.025,0,25
2016-08-01 08,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.026,0,27
2016-08-01 09,서울 강남구 ,강남구,111261,0.004,0.4,0.009,0.027,0,25
2016-08-01 10,서울 강남구 ,강남구,111261,0.005,0.4,0.01,0.029,0,23
2016-08-01 11,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.031,0,28
2016-08-01 12,서울 강남구 ,강남구,111261,0.005,0.3,0.014,0.022,0,27
2016-08-01 13,서울 강남구 ,강남구,111261,0.004,0.3,0.02,0.02,0,23
2016-08-01 14,서울 강남구 ,강남구,111261,0.004,0.2,0.028,0.017,0,19
2016-08-01 15,서울 강남구 ,강남구,111261,0.004,0.3,0.029,0.023,0,0
2016-08-01 16,서울 강남구 ,강남구,111261,0,0,0,0,0,0
2016-08-01 17,서울 강남구 ,강남구,111261,0,0,0,0,0,0
2016-08-01 18,서울 강남구 ,강남구,111261,0.005,0.3,0.01,0.03,0,0
2016-08-01 19,서울 강남구 ,강남구,111261,0.004,0.3,0.009,0.028,9,0
2016-08-01 20,서울 강남구 ,강남구,111261,0.004,0.4,0.012,0.039,15,11
2016-08-01 21,서울 강남구 ,강남구,111261,0.004,0.4,0.009,0.046,32,30
2016-08-01 22,서울 강남구 ,강남구,111261,0.004,0.3,0.005,0.042,28,28
2016-08-01 23,서울 강남구 ,강남구,111261,0.005,0.4,0.003,0.046,44,23
2016-08-01 24,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.043,35,21
2016-08-02 01,서울 강남구 ,강남구,111261,0.005,0.4,0.002,0.039,29,18
2016-08-02 02,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.031,37,18
2016-08-02 03,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.034,33,25
2016-08-02 04,서울 강남구 ,강남구,111261,0.005,0.4,0.002,0.028,35,22
2016-08-02 05,서울 강남구 ,강남구,111261,0.004,0.3,0.005,0.021,38,22
2016-08-02 06,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.027,26,18
2016-08-02 07,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.025,32,18
2016-08-02 08,서울 강남구 ,강남구,111261,0.004,0.3,0.003,0.024,35,18
2016-08-02 09,서울 강남구 ,강남구,111261,0.005,0.4,0.005,0.023,41,18
2016-08-02 10,서울 강남구 ,강남구,111261,0.004,0.3,0.009,0.02,57,15
2016-08-02 11,서울 강남구 ,강남구,111261,0.004,0.3,0.012,0.019,29,18
2016-08-02 12,서울 강남구 ,강남구,111261,0.004,0.3,0.012,0.022,24,17
2016-08-02 13,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.02,29,18
2016-08-02 14,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.029,23,14
2016-08-02 15,서울 강남구 ,강남구,111261,0.004,0.3,0.018,0.029,28,26
2016-08-02 16,서울 강남구 ,강남구,111261,0.005,0.4,0.015,0.036,32,28
2016-08-02 17,서울 강남구 ,강남구,111261,0.004,0.4,0.015,0.044,32,25
2016-08-02 18,서울 강남구 ,강남구,111261,0.004,0.3,0.018,0.036,43,27
2016-08-02 19,서울 강남구 ,강남구,111261,0.004,0.3,0.019,0.026,24,0
2016-08-02 20,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.04,11,7
2016-08-02 21,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.047,18,18
2016-08-02 22,서울 강남구 ,강남구,111261,0.004,0.4,0.001,0.042,23,17
2016-08-02 23,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.044,18,14
2016-08-02 24,서울 강남구 ,강남구,111261,0.004,0.4,0.001,0.04,23,11
2016-08-03 01,서울 강남구 ,강남구,111261,0.004,0.4,0.001,0.039,30,19
2016-08-03 02,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.033,25,15
2016-08-03 03,서울 강남구 ,강남구,111261,0.004,0.3,0.004,0.026,27,20
